,l1,l2,l3,alpha,misspec,k_set,accuracy,mean_unfairness,mean_unfairness_unwt,max_unfairness,A_unfairness,B_unfairness,C_unfairness,Score,group_synth,n_iter,runtime
3091,0.1881266923577733,0.0040550215729736,0.007517821092129,0.1,0,1,0.710267,-0.0122536292125228,-0.0363341671696303,-0.092023632521403,-0.092023632521403,-0.0009333291034853,-0.0160455398840025,-0.0601081083646259,unweighted,50,-1 days +23:32:05.067278
3092,0.086314046244017,0.0021503294612875,0.0260059204024171,0.1,0,1,0.711949,-0.0300475906978139,-0.0536695503204562,-0.1052504122808671,-0.1052504122808671,-0.0255602833391335,-0.0301979553413681,-0.0933583323352408,max,50,-1 days +23:32:05.067278
3093,0.1115666309915421,0.0575172135227566,0.0294707653542419,0.2,0,1,0.707333,-0.0037139013308379,-0.0284464051532998,-0.0819988342018638,-0.0819988342018638,0.0,-0.0033403812580355,-0.0353771833729298,weighted,50,-1 days +23:32:05.067278
3094,0.1115666309915421,0.0575172135227566,0.0294707653542419,0.2,0,1,0.707333,-0.0037139013308379,-0.0284464051532998,-0.0819988342018638,-0.0819988342018638,0.0,-0.0033403812580355,-0.0969188526294673,unweighted,50,-1 days +23:32:05.067278
3095,0.2689365167532708,0.0422877987662484,0.0814081311520601,0.2,0,1,0.692789,-0.0007900608390994,-0.0134459789307066,-0.0403379367921199,-0.0403379367921199,0.0,0.0,-0.14409104171423,max,50,-1 days +23:32:05.067278
3096,0.1115666309915421,0.0575172135227566,0.0294707653542419,0.3,0,1,0.707333,-0.0037139013308379,-0.0284464051532998,-0.0819988342018638,-0.0819988342018638,0.0,-0.0033403812580355,-0.0394432734172815,weighted,50,-1 days +23:32:05.067278
3097,0.2689365167532708,0.0422877987662484,0.0814081311520601,0.3,0,1,0.692789,-0.0007900608390994,-0.0134459789307066,-0.0403379367921199,-0.0403379367921199,0.0,0.0,-0.1201006243511536,unweighted,50,-1 days +23:32:05.067278
3098,0.00326663446485,0.0977964381325,0.4601988613204286,0.3,0,1,0.664485,0.0,0.0,0.0,0.0,0.0,0.0,-0.159794032091583,max,50,-1 days +23:32:05.067278
3099,0.1115666309915421,0.0575172135227566,0.0294707653542419,0.4,0,1,0.707333,-0.0037139013308379,-0.0284464051532998,-0.0819988342018638,-0.0819988342018638,0.0,-0.0033403812580355,-0.0435093634616332,weighted,50,-1 days +23:32:05.067278
3100,0.00326663446485,0.0977964381325,0.4601988613204286,0.4,0,1,0.664485,0.0,0.0,0.0,0.0,0.0,0.0,-0.1369663132213568,unweighted,50,-1 days +23:32:05.067278
3101,0.087575513049887,0.0035328855694728,0.6722513165181764,0.4,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.1540649338462983,max,50,-1 days +23:32:05.067278
3102,0.1115666309915421,0.0575172135227566,0.0294707653542419,0.5,0,1,0.707333,-0.0037139013308379,-0.0284464051532998,-0.0819988342018638,-0.0819988342018638,0.0,-0.0033403812580355,-0.047575453505985,weighted,50,-1 days +23:32:05.067278
3103,0.00326663446485,0.0977964381325,0.4601988613204286,0.5,0,1,0.664485,0.0,0.0,0.0,0.0,0.0,0.0,-0.1141385943511307,unweighted,50,-1 days +23:32:05.067278
3104,0.087575513049887,0.0035328855694728,0.6722513165181764,0.5,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.1283874448719152,max,50,-1 days +23:32:05.067278
3105,0.1115666309915421,0.0575172135227566,0.0294707653542419,0.6,0,1,0.707333,-0.0037139013308379,-0.0284464051532998,-0.0819988342018638,-0.0819988342018638,0.0,-0.0033403812580355,-0.0516415435503367,weighted,50,-1 days +23:32:05.067278
3106,0.087575513049887,0.0035328855694728,0.6722513165181764,0.6,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.1027099558975321,unweighted,50,-1 days +23:32:05.067278
3107,0.087575513049887,0.0035328855694728,0.6722513165181764,0.6,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.1027099558975321,max,50,-1 days +23:32:05.067278
3108,0.2689365167532708,0.0422877987662484,0.0814081311520601,0.7,0,1,0.692789,-0.0007900608390994,-0.0134459789307066,-0.0403379367921199,-0.0403379367921199,0.0,0.0,-0.0387565222984486,weighted,50,-1 days +23:32:05.067278
3109,0.087575513049887,0.0035328855694728,0.6722513165181764,0.7,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.0770324669231491,unweighted,50,-1 days +23:32:05.067278
3110,0.087575513049887,0.0035328855694728,0.6722513165181764,0.7,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.0770324669231491,max,50,-1 days +23:32:05.067278
3111,0.2689365167532708,0.0422877987662484,0.0814081311520601,0.8,0,1,0.692789,-0.0007900608390994,-0.0134459789307066,-0.0403379367921199,-0.0403379367921199,0.0,0.0,-0.0306529050667775,weighted,50,-1 days +23:32:05.067278
3112,0.087575513049887,0.0035328855694728,0.6722513165181764,0.8,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.051354977948766,unweighted,50,-1 days +23:32:05.067278
3113,0.087575513049887,0.0035328855694728,0.6722513165181764,0.8,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.051354977948766,max,50,-1 days +23:32:05.067278
3114,0.00326663446485,0.0977964381325,0.4601988613204286,0.9,0,1,0.664485,0.0,0.0,0.0,0.0,0.0,0.0,-0.0228277188702261,weighted,50,-1 days +23:32:05.067278
3115,0.087575513049887,0.0035328855694728,0.6722513165181764,0.9,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.025677488974383,unweighted,50,-1 days +23:32:05.067278
3116,0.087575513049887,0.0035328855694728,0.6722513165181764,0.9,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.025677488974383,max,50,-1 days +23:32:05.067278
3117,0.087575513049887,0.0035328855694728,0.6722513165181764,0.99,0,1,0.658411,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025677488974383,weighted,50,-1 days +23:32:05.067278
