,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
1215,ExpGrad.1,0,0.707428,-0.0776217406902403,-0.0962686891536286,-0.0962686891536286,-0.0653160839441546,-0.068070519255765,0 days 00:03:25.751959
1216,ExpGrad.01,0,0.687617,-0.0126974192744672,-0.0189665190781287,-0.0189665190781287,-0.0086555434296504,-0.0094337121067877,0 days 00:07:39.072506
1217,RedGrid25,0,0.68355,-0.1133157583527685,-0.1484474862592278,-0.1484474862592278,-0.0948941070674342,-0.0926921297675417,0 days 00:15:23.273263
1218,RedGrid5,0,0.68355,-0.1133157583527685,-0.1484474862592278,-0.1484474862592278,-0.0948941070674342,-0.0926921297675417,0 days 00:15:19.883196
1219,RedGrid75,0,0.68355,-0.1133157583527685,-0.1484474862592278,-0.1484474862592278,-0.0948941070674342,-0.0926921297675417,0 days 00:15:31.191845
1220,ExpGrad.1,1,0.711976,-0.0430234437933054,-0.1120558776922255,-0.1120558776922255,-0.0395046874573736,-0.0428142502516545,0 days 00:02:53.584735
1221,ExpGrad.01,1,0.613707,-0.0022210436386169,-0.0244699718269022,-0.0244699718269022,-0.0049782881265396,0.0,0 days 00:04:55.042894
1222,RedGrid25,1,0.699307,-0.0379178235759526,-0.1072178132857517,-0.1072178132857517,-0.0358813476034952,-0.0368799164280816,0 days 00:10:56.737863
1223,RedGrid5,1,0.699307,-0.0379178235759526,-0.1072178132857517,-0.1072178132857517,-0.0358813476034952,-0.0368799164280816,0 days 00:10:56.302672
1224,RedGrid75,1,0.699307,-0.0379178235759526,-0.1072178132857517,-0.1072178132857517,-0.0358813476034952,-0.0368799164280816,0 days 00:10:56.518534
1225,ExpGrad.1,1,0.711318,-0.0419470947609216,-0.1143256856507366,-0.1143256856507366,-0.0425837364189545,-0.0393406853949792,0 days 00:02:43.870917
1226,ExpGrad.01,1,0.589384,-0.0119887808253162,-0.0274417676327037,-0.0274417676327037,-0.0158260776416353,-0.009385582523454,0 days 00:02:54.284280
1227,RedGrid25,1,0.701403,-0.0170281455610613,-0.1074464396413328,-0.1074464396413328,-0.0036576368582709,-0.0216052994040136,0 days 00:12:00.730841
1228,RedGrid5,1,0.701403,-0.0170281455610613,-0.1074464396413328,-0.1074464396413328,-0.0036576368582709,-0.0216052994040136,0 days 00:11:50.967608
1229,RedGrid75,1,0.701403,-0.0170281455610613,-0.1074464396413328,-0.1074464396413328,-0.0036576368582709,-0.0216052994040136,0 days 00:12:04.818793
